hsc_trust,quarter_end,accident_emergency,anaesthetics,audiological,cardiac_surgery,cardiology,chemical_pathology,clinical_genetics,clinical_neuro-physiology,clinical_oncology,dental_medicine_specialties,dermatology,ent,endocrinology,gastroenterology,general_medicine,general_surgery,genito-urinary_medicine,geriatric_medicine,gynaecology,haematology_clinical,joint_consultant_clinics,learning_disability,medical_oncology,nephrology,neurology,neurosurgery,old_age_psychiatry,ophthalmology,oral_surgery,orthodontics,paediatric_dentistry,paediatric_neurology,paediatric_surgery,paediatrics,pain_management,palliative_medicine,plastic_surgery,radiology,rehabilitation,restorative_dentistry,rheumatology,t_o_surgery,thoracic_medicine,thoracic_surgery,urology
Southern,9-2014,4,1,0,0,1355,19,0,0,0,0,3598,3144,388,628,128,3556,30,148,2239,92,0,3,1,19,778,0,35,2537,58,22,10,0,0,1012,528,18,0,0,0,0,728,1442,561,0,1636
Southern,9-2015,0,5,0,0,2014,47,0,0,0,0,1702,5137,837,1261,87,4678,36,267,2698,192,0,6,2,30,1401,0,51,5558,129,49,18,0,0,1411,886,17,0,0,0,0,1099,1955,913,0,2431
Southern,9-2016,0,10,0,0,1438,78,0,0,0,0,1893,5405,888,1846,98,6862,30,315,2680,174,0,6,3,43,2010,0,59,5997,56,95,21,0,0,996,781,14,0,0,0,0,1118,2234,1175,0,3040
Western,12-2013,0,0,0,0,267,26,0,0,0,0,747,1049,0,0,1468,2477,22,75,1229,31,0,20,0,64,733,0,0,1156,1152,60,0,0,0,605,345,9,0,0,0,0,514,1563,0,0,311
Western,12-2014,0,0,0,0,368,23,0,0,0,0,649,1279,0,0,2383,3365,28,79,1360,74,0,22,0,54,1441,0,0,1864,1358,68,0,0,0,771,509,5,0,0,0,0,694,2470,0,0,632
Western,12-2015,0,0,0,0,383,24,0,0,0,0,882,2415,0,0,3297,5884,0,76,1354,49,0,19,0,74,2163,0,0,2016,2422,103,0,0,0,791,569,2,0,0,0,0,1139,3471,0,0,292
Western,12-2016,0,0,0,0,438,23,0,0,31,0,623,2744,0,0,3835,5012,0,59,1059,39,0,16,0,93,2353,0,0,1556,3000,126,0,0,0,1045,688,2,0,0,0,0,1639,4745,0,0,299
Western,3-2014,0,0,0,0,348,24,0,0,0,0,815,1460,0,0,1564,2270,11,84,1335,27,0,19,0,60,910,0,0,1334,1637,73,0,0,0,620,364,5,0,0,0,0,471,1672,0,0,330
Western,3-2015,0,0,0,0,444,33,0,0,0,0,689,1558,0,0,2733,4275,53,77,1407,92,0,14,0,73,1657,0,0,1990,1726,99,0,0,0,794,531,1,0,0,0,0,788,2873,0,0,530
Western,3-2016,0,0,0,0,369,35,0,0,0,0,735,2978,0,0,3408,5341,0,65,1340,37,0,17,0,74,1810,0,0,1746,1997,122,0,0,0,934,617,8,0,0,0,0,1226,3877,0,0,411
Western,3-2017,0,0,0,0,549,26,0,0,39,0,525,2636,0,0,3665,4940,0,76,1136,21,0,35,0,80,2574,0,0,1870,3064,169,0,0,0,1220,734,1,0,0,0,0,1565,5452,0,0,329
Western,6-2014,0,0,0,0,461,25,0,0,0,0,1045,1675,0,0,1789,2782,0,61,1655,43,0,15,0,52,1062,0,0,1624,1590,53,0,0,0,690,370,1,0,0,0,0,618,1962,0,0,362
Western,6-2015,0,0,0,0,498,25,0,0,0,0,865,1845,0,0,3027,4970,0,90,1412,21,0,10,0,76,1802,0,0,2017,2005,102,0,0,0,826,538,0,0,0,0,0,976,3363,0,0,333
Western,6-2016,0,0,0,0,386,31,0,0,24,0,700,3190,0,0,3447,5743,0,69,1283,51,0,13,0,68,2054,0,0,1501,2298,64,0,0,0,893,642,6,0,0,0,0,1424,4327,0,0,371
Western,6-2017,0,0,0,0,509,32,0,0,38,0,722,2670,0,0,3968,4867,0,70,1358,21,0,60,0,106,2773,0,0,1743,3185,187,0,0,0,1253,761,2,0,0,0,0,1673,5918,0,2,455
Western,9-2014,0,0,0,0,414,23,0,0,0,0,843,1064,0,0,2097,2963,0,64,1574,38,0,20,0,49,1282,0,0,1809,1034,75,0,0,0,697,371,2,0,0,0,0,659,2355,0,0,430
Western,9-2015,0,0,0,0,441,35,0,0,0,0,934,2220,0,0,3259,5650,0,88,1441,53,0,24,0,62,2032,0,0,1972,2318,84,0,0,0,881,595,3,0,0,0,0,1100,3558,0,0,380
Western,9-2016,0,0,0,0,408,39,0,0,24,0,889,3295,0,0,3752,5523,0,70,1248,47,0,25,0,76,2305,0,0,1606,2738,86,0,0,0,1037,711,2,0,0,0,0,1497,4391,0,0,374
